Exercise,Sets,Target Reps,Target Weight (lb),Superset Group,Coach's Notes,Set,Actual Reps,Actual Weight (lb),Notes,Reps in Reserve (RIR)
"Cossack Squat",3,"10-12",0,None,"",1,10,0,"",5
"Cossack Squat",3,"10-12",0,None,"",2,10,0,"Tight from running last week",3
"Cossack Squat",3,"10-12",0,None,"",3,10,0,"",2
"Barbell Box Squat",3,"10",135,None,"",1,10,135,"",2
"Barbell Box Squat",3,"10",135,None,"",2,10,135,"16 inch box",1
"Barbell Box Squat",3,"10",135,None,"",3,10,135,"",1
"Seated Good Morning",3,"8-10",95,A,"",1,8,95,"",2
"Seated Good Morning",3,"8-10",95,A,"",2,10,95,"",3
"Seated Good Morning",3,"8-10",95,A,"",3,15,95,"115 next time",2
"Rack Pull",3,"6-8",155,A,"",1,8,155,"",4
"Rack Pull",3,"6-8",155,A,"",2,8,155,"",4
"Rack Pull",3,"6-8",155,A,"",3,12,155,"185 next time",2
