Exercise,Set,Target Reps,Target Weight (lb),Superset Group,Coach's Notes,Actual Reps,Actual Weight (lb)
"Cossack Squat","1","8-12","0","None","","8","0"
"Cossack Squat","2","8-12","0","None","","8-12","0"
"Cossack Squat","3","8-12","0","None","","8-12","0"
"Deadlifts","1","3-5","255","None","","3-5","255"
"Deadlifts","2","3-5","255","None","","3-5","255"
"Deadlifts","3","3-5","255","None","","3-5","255"
"Deadlifts","4","3-5","255","None","","3-5","255"
"Wide Stance Barbell Back Squot","1","5-7","155","A","","5-7","155"
"Glute-Ham Raise (GHR)","1","8-12","10","A","","8-12","10"
"Hanging Leg Raises","1","10-12","0","A","","10-12","0"
"Wide Stance Barbell Back Squot","2","5-7","155","A","","5-7","155"
"Glute-Ham Raise (GHR)","2","8-12","10","A","","8-12","10"
"Hanging Leg Raises","2","10-12","0","A","","10-12","0"
"Wide Stance Barbell Back Squot","3","5-7","155","A","","5-7","155"
"Glute-Ham Raise (GHR)","3","8-12","10","A","","8-12","10"
"Hanging Leg Raises","3","10-12","0","A","","10-12","0"
