Exercise,Set,Target RPE,Target Reps,Target Weight,
Close-Grip Pull Up,4,5,0,None,
Close-Grip Pull Up,4,5,0,None,
Close-Grip Pull Up,4,5,0,None,
Close-Grip Pull Up,4,5,0,None,
Barbell Incline Bench Press,3,10,95,None,
Barbell Incline Bench Press,3,10,95,None,
Barbell Incline Bench Press,3,10,95,None,
Lat Pulldowns,3,10,130,A,
Lat Pulldowns,3,10,130,A,
Lat Pulldowns,3,12,130,A,
dumbbell bench press,3,8,50,A,
dumbbell bench press,3,8,50,A,
dumbbell bench press,3,8,50,A,
Hanging Leg Raises,3,fail,0,A,
Hanging Leg Raises,3,fail,0,A,
Hanging Leg Raises,3,fail,0,A,
